PlaceholderPlaceholder (no brackets)Field Name (pretty label)Section RefSource FileRequiredDescription of Expected Content FallbackDependenciesWord count (min)Word count (max)Tone/StyleInstructions for GPTAllowed source: userAllowed source: GPT logicAllowed source: APIData TypeRetry on RejectNormalise CaseProvenence requiredNotesExamplesBenchmark Targets,,,,,,,,,,,,,,,,,,,,,,,
Placeholder,Placeholder (no brackets),Field Name (pretty label),Section Ref,Source File,Required,Description of Expected Content ,Fallback,Dependencies,Word count (min),Word count (max),Tone/Style,Instructions for GPT,Allowed source: user,Allowed source: GPT logic,Allowed source: API,Data Type,Retry on Reject,Normalise Case,Provenence required,Notes,Examples,Benchmark Targets,
{{ cost_tot_light }},cost_tot_light,Lighting,13,Report_field_guide.xlsx,No,Total estimated cost of interventions to all lighting systems under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_light }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_win }},cost_tot_win,Windows,13,Report_field_guide.xlsx,No,Total estimated cost of interventions to the windos under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_win }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_ins }},cost_tot_ins,Insulation,13,Report_field_guide.xlsx,Yes,Total estimated cost of interventions to improve the building fabric insulation under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_ins }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_cata }},cost_tot_cata,Refurb to CAT A,13,Report_field_guide.xlsx,Yes,Total estimated cost of interventions to take any vacant floors back to CAT-A status under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_cata }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_pv }},cost_tot_pv,Renewables / solar,13,Report_field_guide.xlsx,Yes,Total estimated cost of interventions to tadd renewables under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_pv }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_water }},cost_tot_water,Water systems,13,Report_field_guide.xlsx,Yes,Total estimated cost of interventions to the water systems under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_water }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_nia }},cost_tot_nia,Additional NIA,13,Report_field_guide.xlsx,Yes,Total estimated cost of interventions to increase the net lettable aread under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_nia }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_recept }},cost_tot_recept,Reception,13,Report_field_guide.xlsx,Yes,Total estimated cost of interventions to improve the reception under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_recept }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_eot }},cost_tot_eot,End of trip,13,Report_field_guide.xlsx,Yes,Total estimated cost of interventions to improve the end of trip facilities under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_other }},cost_tot_other,Other,13,Report_field_guide.xlsx,Yes,"Total estimated cost of all other interventionsin your Retrofit Strategy, not included above","None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_other }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_fees }},cost_tot_fees,Professional fees (at 15%),13,Report_field_guide.xlsx,Yes,"Total estimated professional fees, calculated as 15% of the toal of all other costs listed above","None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_fees }} multiplied by {{ GIA }}",N/A,
{{ cost_tot_total }},cost_tot_total,TOTAL COSTS,13,Report_field_guide.xlsx,Yes,Sum of all costs listed above,"None, mandatory",Must be after all other {{ cost_ }} placeholders are calculated,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£1,000,000""    Can use the per sq ft rate listed in {{ Cost_rate_total }} multiplied by {{ GIA }}",N/A,
{{ cost_rate_plant }},cost_rate_plant,Main plant,13,Report_field_guide.xlsx,Yes,"Per square foot rate for the estimated cost of interventions to the Main Central Plant (chillers, ASHP, AHU, electrics, etc) under the Retrofit Strategy","None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_floor }},cost_rate_floor,On floor MEP,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to the on floor MEP systems under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_light }},cost_rate_light,Lighting,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to all lighting systems under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_win }},cost_rate_win,Windows,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to the windos under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_ins }},cost_rate_ins,Insulation,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to improve the building fabric insulation under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_cata }},cost_rate_cata,Refurb to CAT A,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to take any vacant floors back to CAT-A status under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_pv }},cost_rate_pv,Renewables / solar,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to tadd renewables under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_water }},cost_rate_water,Water systems,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to the water systems under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_nia }},cost_rate_nia,Additional NIA,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to increase the net lettable aread under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_recept }},cost_rate_recept,Reception,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to improve the reception under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_eot }},cost_rate_eot,End of trip,13,Report_field_guide.xlsx,Yes,Per square foot rate for the estimated cost of interventions to improve the end of trip facilities under the Retrofit Strategy,"None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_other }},cost_rate_other,Other,13,Report_field_guide.xlsx,Yes,"Per square foot rate for the estimated cost of all other interventionsin your Retrofit Strategy, not included above","None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_fees }},cost_rate_fees,Professional fees (at 15%),13,Report_field_guide.xlsx,Yes,"Per square foot rate for the estimated professional fees, calculated as 15% of the toal of all other costs listed above","None, mandatory",None,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_rate_total }},cost_rate_total,TOTAL COSTS,13,Report_field_guide.xlsx,Yes,Per square foot rate for the sum of all costs listed above,"None, mandatory",Must be after all other {{ cost_ }} placeholders are calculated,1,10,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,Currency,Yes,N/A,No,,"""£120 / sq ft""",N/A,
{{ cost_source_plant }},cost_source_plant,Main plant,13,Report_field_guide.xlsx,Yes,"Source of the information used to calculate the cost of interventions to the Main Central Plant (chillers, ASHP, AHU, electrics, etc) under the Retrofit Strategy","None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_floor }},cost_source_floor,On floor MEP,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to the on floor MEP systems under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_light }},cost_source_light,Lighting,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to all lighting systems under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_win }},cost_source_win,Windows,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to the windos under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_ins }},cost_source_ins,Insulation,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to improve the building fabric insulation under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_cata }},cost_source_cata,Refurb to CAT A,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to take any vacant floors back to CAT-A status under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_pv }},cost_source_pv,Renewables / solar,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to tadd renewables under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_water }},cost_source_water,Water systems,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to the water systems under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_nia }},cost_source_nia,Additional NIA,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to increase the net lettable aread under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_recept }},cost_source_recept,Reception,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to improve the reception under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_eot }},cost_source_eot,End of trip,13,Report_field_guide.xlsx,Yes,Source of the information used to calculate the cost of interventions to improve the end of trip facilities under the Retrofit Strategy,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_other }},cost_source_other,Other,13,Report_field_guide.xlsx,Yes,"Source of the information used to calculate the cost of all other interventionsin your Retrofit Strategy, not included above","None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ cost_source_fees }},cost_source_fees,Professional fees (at 15%),13,Report_field_guide.xlsx,Yes,N/A,"None, mandatory",None,1,20,"Short, factual",GPT deep analysis and synthesis,No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,
{{ imd_score }},imd_score,IMD Score,1,SQL database,No,Index of Multiple Deprivation overall score - weighted combination of 7 domain scores,Insert 'Data unavailable or inconclusive',lsoa_code,1,10,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Higher score = more deprived. Range typically 0-100.,25.307,N/A,
{{ imd_rank }},imd_rank,IMD Rank,1,SQL database,No,National rank out of 33755 LSOAs (1 = most deprived),Insert 'Data unavailable or inconclusive',lsoa_code,1,10,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,1 = most deprived LSOA in England. 33755 = least deprived.,10917,N/A,
{{ imd_decile }},imd_decile,IMD Decile,1,SQL database,Yes,Overall deprivation decile (1-10). Decile 1 = most deprived 10% of areas,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Key summary metric. 1 = most deprived 10%. 10 = least deprived 10%.,4,N/A,
{{ imd_income_decile }},imd_income_decile,Income Decile,1,SQL database,No,Income deprivation domain decile - measures proportion of population experiencing deprivation relating to low income,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Based on adults/children in income-deprived families.,3,N/A,
{{ imd_employment_decile }},imd_employment_decile,Employment Decile,1,SQL database,No,Employment deprivation domain decile - measures proportion of working-age population involuntarily excluded from labour market,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Includes unemployment and incapacity benefits claimants.,5,N/A,
{{ imd_education_decile }},imd_education_decile,Education Decile,1,SQL database,No,Education Skills and Training domain decile - measures lack of attainment and skills in local population,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Covers children/young people and adult skills sub-domains.,4,N/A,
{{ imd_health_decile }},imd_health_decile,Health Decile,1,SQL database,No,Health Deprivation and Disability domain decile - measures risk of premature death and impairment of quality of life through poor health,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Based on mortality rates and health conditions.,7,N/A,
{{ imd_crime_decile }},imd_crime_decile,Crime Decile,1,SQL database,No,Crime domain decile - measures risk of personal and material victimisation at local level,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Based on recorded crime rates for violence/burglary/theft/damage.,1,N/A,
{{ imd_barriers_decile }},imd_barriers_decile,Housing Barriers Decile,1,SQL database,No,Barriers to Housing and Services domain decile - measures physical and financial accessibility of housing and local services,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Includes geographical barriers and wider barriers sub-domains.,1,N/A,
{{ imd_living_env_decile }},imd_living_env_decile,Living Environment Decile,1,SQL database,No,Living Environment domain decile - measures quality of indoor and outdoor local environment,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Indoors = housing quality. Outdoors = air quality and road accidents.,3,N/A,
{{ imd_idaci_decile }},imd_idaci_decile,Child Poverty Decile,1,SQL database,No,Income Deprivation Affecting Children Index (IDACI) decile - proportion of children aged 0-15 living in income deprived families,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Supplementary index focusing specifically on child poverty.,2,N/A,
{{ imd_idaopi_decile }},imd_idaopi_decile,Older People Poverty Decile,1,SQL database,No,Income Deprivation Affecting Older People Index (IDAOPI) decile - proportion of adults aged 60+ in income deprived households,Insert 'Data unavailable or inconclusive',lsoa_code,1,2,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,Supplementary index focusing specifically on older people poverty.,5,N/A,
{{ imd_population_total }},imd_population_total,LSOA Population,1,SQL database,No,Total population of the LSOA (mid-2022 estimate),Insert 'Data unavailable or inconclusive',lsoa_code,1,10,N/A - system field,"Get from IMD 2025 via Val ""pipe-imd""",No,No,Yes,Number,No,N/A,Yes,LSOAs typically have 1000-3000 residents.,1837,N/A,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
